question,answer,movie_name
你 的 樂高 太多 了 吧,有 100 盒 嗎 ？,Far.Far.Away.2023.iTunes
有 100 盒 嗎 ？,哪 有 100 盒 ？,Far.Far.Away.2023.iTunes
哪 有 100 盒 ？,不過 我 買 車 後 就 沒 再 買 樂高,Far.Far.Away.2023.iTunes
不過 我 買 車 後 就 沒 再 買 樂高,現在 拼 的 是 以前 未 拼 過 的,Far.Far.Away.2023.iTunes
現在 拼 的 是 以前 未 拼 過 的,你 有病 啊 ， 這麼多 杯 麵,Far.Far.Away.2023.iTunes
你 有病 啊 ， 這麼多 杯 麵,你 整 個 冰箱 都 是 「 波仔 」 ， 你 真的 很 專一,Far.Far.Away.2023.iTunes
你 整 個 冰箱 都 是 「 波仔 」 ， 你 真的 很 專一,每 盒 都 不同 味道 的,Far.Far.Away.2023.iTunes
每 盒 都 不同 味道 的,喂 ？,Far.Far.Away.2023.iTunes
喂 ？,怎樣 ？,Far.Far.Away.2023.iTunes
怎樣 ？,又 是 這樣 ？,Far.Far.Away.2023.iTunes
又 是 這樣 ？,說完 了 沒 ？,Far.Far.Away.2023.iTunes
說完 了 沒 ？,行 ！ 就 這樣 ！ 還 說 ？,Far.Far.Away.2023.iTunes
行 ！ 就 這樣 ！ 還 說 ？,怎麼 了 ？ 公事 ？,Far.Far.Away.2023.iTunes
怎麼 了 ？ 公事 ？,沒 事,Far.Far.Away.2023.iTunes
沒 事,為甚麼 那麼 兇 ？ 我 沒 看 過 你 這麼 兇,Far.Far.Away.2023.iTunes
為甚麼 那麼 兇 ？ 我 沒 看 過 你 這麼 兇,沒 甚麼 ， 是 我 老爸 而已,Far.Far.Away.2023.iTunes
沒 甚麼 ， 是 我 老爸 而已,對 老爸 要 這麼 兇 ？,Far.Far.Away.2023.iTunes
對 老爸 要 這麼 兇 ？,你 很 討厭 他 嗎 ？,Far.Far.Away.2023.iTunes
你 很 討厭 他 嗎 ？,但 他 對 你 很 好,Far.Far.Away.2023.iTunes
但 他 對 你 很 好,這麼 大 的 房子 留給 你,Far.Far.Away.2023.iTunes
這麼 大 的 房子 留給 你,那麼 漂亮 的 裝潢,Far.Far.Away.2023.iTunes
那麼 漂亮 的 裝潢,我 有 給 他 房租 的,Far.Far.Away.2023.iTunes
我 有 給 他 房租 的,裝潢 是,Far.Far.Away.2023.iTunes
裝潢 是,為 了 丟掉 我 媽的 東西,Far.Far.Away.2023.iTunes
為 了 丟掉 我 媽的 東西,但 你 媽 也 過世 了 很 久,Far.Far.Away.2023.iTunes
但 你 媽 也 過世 了 很 久,對 啊,Far.Far.Away.2023.iTunes
對 啊,那 一定 要 丟掉 她 的 東西 嗎 ？,Far.Far.Away.2023.iTunes
那 一定 要 丟掉 她 的 東西 嗎 ？,他 想 賣 房子,Far.Far.Away.2023.iTunes
他 想 賣 房子,故意 在 我 去 旅行 的 時候 裝潢,Far.Far.Away.2023.iTunes
故意 在 我 去 旅行 的 時候 裝潢,我 就 偏偏 要 住 在 這裏,Far.Far.Away.2023.iTunes
我 就 偏偏 要 住 在 這裏,不許 他 賣,Far.Far.Away.2023.iTunes
不許 他 賣,他 愛 錢,Far.Far.Away.2023.iTunes
他 愛 錢,我 給 他 比 市價 高 的 租金,Far.Far.Away.2023.iTunes
我 給 他 比 市價 高 的 租金,倆 父子 ， 何苦 呢 ？,Far.Far.Away.2023.iTunes
倆 父子 ， 何苦 呢 ？,他 根本 就 沒有 照顧 這 個 家,Far.Far.Away.2023.iTunes
他 根本 就 沒有 照顧 這 個 家,以為 自己 在 大陸 賺 一點 錢 回來 就 很 了不起,Far.Far.Away.2023.iTunes
以為 自己 在 大陸 賺 一點 錢 回來 就 很 了不起,算了 ， 不 說 了,Far.Far.Away.2023.iTunes
算了 ， 不 說 了,你 幹嘛 ？,Far.Far.Away.2023.iTunes
你 幹嘛 ？,我 覺得 你 這裏 有 跳蝨,Far.Far.Away.2023.iTunes
我 覺得 你 這裏 有 跳蝨,你 放 這麼多 玩具 在 這裏,Far.Far.Away.2023.iTunes
你 放 這麼多 玩具 在 這裏,一 上來 就 被 叮 了 幾 口,Far.Far.Away.2023.iTunes
一 上來 就 被 叮 了 幾 口,你 是 個 女生 來 的,Far.Far.Away.2023.iTunes
你 是 個 女生 來 的,別 這樣子 好 嗎 ？,Far.Far.Away.2023.iTunes
別 這樣子 好 嗎 ？,甚麼 ？,Far.Far.Away.2023.iTunes
甚麼 ？,你 看到 甚麼 ？,Far.Far.Away.2023.iTunes
你 看到 甚麼 ？,有 走光 嗎 ？,Far.Far.Away.2023.iTunes
有 走光 嗎 ？,走光 就 便宜 你 了,Far.Far.Away.2023.iTunes
走光 就 便宜 你 了,幹嘛 ？ 咩姐,Far.Far.Away.2023.iTunes
幹嘛 ？ 咩姐,我 覺得 真的 很 好笑,Far.Far.Away.2023.iTunes
我 覺得 真的 很 好笑,我們 個性 相反,Far.Far.Away.2023.iTunes
我們 個性 相反,唸 大學 時 我 吃定 你 ， 現在 又 吃定 你,Far.Far.Away.2023.iTunes
唸 大學 時 我 吃定 你 ， 現在 又 吃定 你,唸 大學 時,Far.Far.Away.2023.iTunes
唸 大學 時,每 個 人 都 給 你 吃定,Far.Far.Away.2023.iTunes
每 個 人 都 給 你 吃定,謝謝 你 買 東西 上來 給 我 吃,Far.Far.Away.2023.iTunes
謝謝 你 買 東西 上來 給 我 吃,吃完 後 感覺 好 了 一點,Far.Far.Away.2023.iTunes
吃完 後 感覺 好 了 一點,我 待會 就 可以 上班,Far.Far.Away.2023.iTunes
我 待會 就 可以 上班,去 你 的 ！ 香港人 真的 很 愛 上班 嗎 ？,Far.Far.Away.2023.iTunes
去 你 的 ！ 香港人 真的 很 愛 上班 嗎 ？,你 難得 請 了 假 ， 休息 一下 吧,Far.Far.Away.2023.iTunes
你 難得 請 了 假 ， 休息 一下 吧,少 工作 半 天 會 死 嗎 ？,Far.Far.Away.2023.iTunes
少 工作 半 天 會 死 嗎 ？,你 有 時間 就 想想,Far.Far.Away.2023.iTunes
你 有 時間 就 想想,我 請 你 吃 這 一 餐 你 怎樣 報答 我 ？,Far.Far.Away.2023.iTunes
我 請 你 吃 這 一 餐 你 怎樣 報答 我 ？,改天 下班 後 請 你 看 電影 吃飯,Far.Far.Away.2023.iTunes
改天 下班 後 請 你 看 電影 吃飯,不然 週六日 帶 你 去 茶果嶺,Far.Far.Away.2023.iTunes
不然 週六日 帶 你 去 茶果嶺,你 說 想 看看,Far.Far.Away.2023.iTunes
你 說 想 看看,邱志厚 小朋友,Far.Far.Away.2023.iTunes
邱志厚 小朋友,長大 了,Far.Far.Away.2023.iTunes
長大 了,想 約 我 出去 ？,Far.Far.Away.2023.iTunes
想 約 我 出去 ？,報答 你 而已,Far.Far.Away.2023.iTunes
報答 你 而已,你 ⋯ 男友 不 介意 ？,Far.Far.Away.2023.iTunes
你 ⋯ 男友 不 介意 ？,本 小姐 現在 單身,Far.Far.Away.2023.iTunes
本 小姐 現在 單身,你們 還 記得 我 碰見 Mena 和 Manson 那 一 晚 嗎 ？,Far.Far.Away.2023.iTunes
你們 還 記得 我 碰見 Mena 和 Manson 那 一 晚 嗎 ？,有 些 事情 我 沒有 跟 大同 甚至 阿榮 說,Far.Far.Away.2023.iTunes
有 些 事情 我 沒有 跟 大同 甚至 阿榮 說,因為 我 有點 心虛,Far.Far.Away.2023.iTunes
因為 我 有點 心虛,你 肯定 她 還 是 你 的 女朋友 ？,Far.Far.Away.2023.iTunes
你 肯定 她 還 是 你 的 女朋友 ？,我 被 甩 了 很多 次,Far.Far.Away.2023.iTunes
我 被 甩 了 很多 次,分手 我 有 經驗,Far.Far.Away.2023.iTunes
分手 我 有 經驗,報仇 時間,Far.Far.Away.2023.iTunes
報仇 時間,甚麼 ？,Far.Far.Away.2023.iTunes
甚麼 ？,你 幹 甚麼 ？,Far.Far.Away.2023.iTunes
你 幹 甚麼 ？,報仇,Far.Far.Away.2023.iTunes
報仇,她 不仁 你 不義,Far.Far.Away.2023.iTunes
她 不仁 你 不義,他們 沒有 牽 手,Far.Far.Away.2023.iTunes
他們 沒有 牽 手,牽 什麼 手 ？,Far.Far.Away.2023.iTunes
牽 什麼 手 ？,看 你 多 驚慌,Far.Far.Away.2023.iTunes
先生 ， 你們 點 的 食物 已 到齊 了,你們 還 需要 甚麼 嗎 ？,Far.Far.Away.2023.iTunes
你們 還 需要 甚麼 嗎 ？,沒有 了 ， 謝謝,Far.Far.Away.2023.iTunes
沒有 了 ， 謝謝,買單 好了,Far.Far.Away.2023.iTunes
買單 好了,好,Far.Far.Away.2023.iTunes
好,咩姐 ， 你 住 哪裏 ？,Far.Far.Away.2023.iTunes
咩姐 ， 你 住 哪裏 ？,我 有 車,Far.Far.Away.2023.iTunes
我 有 車,我 送 你,Far.Far.Away.2023.iTunes
我 送 你,送 我 去 中環 好了,Far.Far.Away.2023.iTunes
送 我 去 中環 好了,中環 ？ 破產 還 住在 半 山區,Far.Far.Away.2023.iTunes
中環 ？ 破產 還 住在 半 山區,這樣 也 好,Far.Far.Away.2023.iTunes
這樣 也 好,終於 有 人 不 是 住在 新界 山旮旯 的 地方,Far.Far.Away.2023.iTunes
終於 有 人 不 是 住在 新界 山旮旯 的 地方,你們 說 對 嗎 ？,Far.Far.Away.2023.iTunes
為什麼 你 會 在 這裏 ？,一 個 新聞 記者,Far.Far.Away.2023.iTunes
一 個 新聞 記者,在 中環 有 什麼 稀奇,Far.Far.Away.2023.iTunes
在 中環 有 什麼 稀奇,我 載 你 回 茶果嶺 ？,Far.Far.Away.2023.iTunes
我 載 你 回 茶果嶺 ？,你 嘗試 一下,Far.Far.Away.2023.iTunes
你 嘗試 一下,嘗試 ？,Far.Far.Away.2023.iTunes
嘗試 ？,為何 發 不 動 ？,Far.Far.Away.2023.iTunes
為何 發 不 動 ？,剛才 我 在 南丫島 採訪 後 坐 船 回來,Far.Far.Away.2023.iTunes
剛才 我 在 南丫島 採訪 後 坐 船 回來,就 看到 你 的 車 在 這裏,Far.Far.Away.2023.iTunes
就 看到 你 的 車 在 這裏,門 鎖 了,Far.Far.Away.2023.iTunes
門 鎖 了,燈 卻 沒有 關,Far.Far.Away.2023.iTunes
燈 卻 沒有 關,五 分鐘 前,Far.Far.Away.2023.iTunes
五 分鐘 前,關掉 了,Far.Far.Away.2023.iTunes
關掉 了,糟糕,Far.Far.Away.2023.iTunes
糟糕,沒 電 了,Far.Far.Away.2023.iTunes
沒 電 了,我 打給 阿榮 了,Far.Far.Away.2023.iTunes
我 打給 阿榮 了,這麼 急 著 打給 我,Far.Far.Away.2023.iTunes
這麼 急 著 打給 我,很 想念 我 嗎 ？,Far.Far.Away.2023.iTunes
很 想念 我 嗎 ？,厚哥 ， 現在 你 需要 一 個 女友 多 些,Far.Far.Away.2023.iTunes
厚哥 ， 現在 你 需要 一 個 女友 多 些,還 是 一 個 外置 電源 多 些 ？,Far.Far.Away.2023.iTunes
還 是 一 個 外置 電源 多 些 ？,你 剃 了 鬚 都 挺 帥 喔,Far.Far.Away.2023.iTunes
你 剃 了 鬚 都 挺 帥 喔,我 知道,Far.Far.Away.2023.iTunes
我 知道,所以 從 明天 開始,Far.Far.Away.2023.iTunes
所以 從 明天 開始,我 會 再 留 鬍子,Far.Far.Away.2023.iTunes
我 會 再 留 鬍子,免得 搶走 你 所有 女友,Far.Far.Away.2023.iTunes
免得 搶走 你 所有 女友,你們 幹嘛 這麼 兇 ？,Far.Far.Away.2023.iTunes
你們 幹嘛 這麼 兇 ？,你 懂得 弄 嗎 ？,Far.Far.Away.2023.iTunes
你 懂得 弄 嗎 ？,怎樣 ？ 想 怎樣 報答 我 ？,Far.Far.Away.2023.iTunes
怎樣 ？ 想 怎樣 報答 我 ？,報答 你 ？ 我 還 沒 說 你,Far.Far.Away.2023.iTunes
報答 你 ？ 我 還 沒 說 你,甚麼 ？,Far.Far.Away.2023.iTunes
甚麼 ？,對 我 還 要 說謊,Far.Far.Away.2023.iTunes
對 我 還 要 說謊,甚麼 ？,Far.Far.Away.2023.iTunes
甚麼 ？,你 做錯 了 甚麼 ？,Far.Far.Away.2023.iTunes
你 做錯 了 甚麼 ？,我 也 想 知道,Far.Far.Away.2023.iTunes
我 也 想 知道,說來 聽聽,Far.Far.Away.2023.iTunes
說來 聽聽,原來 你 根本 沒 追求 過 Lisa,Far.Far.Away.2023.iTunes
原來 你 根本 沒 追求 過 Lisa,又 說 自己 追求 過,Far.Far.Away.2023.iTunes
又 說 自己 追求 過,當事人 ， 請問 有 甚麼 回應 ？,Far.Far.Away.2023.iTunes
當事人 ， 請問 有 甚麼 回應 ？,說 啊,Far.Far.Away.2023.iTunes
說 啊,不 敢 說 ？,Far.Far.Away.2023.iTunes
不 敢 說 ？,我 也 沒 問 你 為什麼 把 車 停 在 這裏,Far.Far.Away.2023.iTunes
我 也 沒 問 你 為什麼 把 車 停 在 這裏,你 問 吧,Far.Far.Away.2023.iTunes
你 問 吧,這麼 大 的 人,Far.Far.Away.2023.iTunes
這麼 大 的 人,不用 交代 吧,Far.Far.Away.2023.iTunes
不用 交代 吧,Lisa 有沒有 跟 你 說 ⋯,Far.Far.Away.2023.iTunes
Lisa 有沒有 跟 你 說 ⋯,羅子榮 ， 你 不可以 口 無 遮攔,Far.Far.Away.2023.iTunes
羅子榮 ， 你 不可以 口 無 遮攔,發生 甚麼 事 ？,Far.Far.Away.2023.iTunes
發生 甚麼 事 ？,你 自己 問 他 吧,Far.Far.Away.2023.iTunes
你 自己 問 他 吧,原來 Lisa 曾經 跟 你 在一起,Far.Far.Away.2023.iTunes
原來 Lisa 曾經 跟 你 在一起,你 不 是 說 和 她 妹妹 是 初戀 嗎 ？,Far.Far.Away.2023.iTunes
你 不 是 說 和 她 妹妹 是 初戀 嗎 ？,你 太 過份 了,Far.Far.Away.2023.iTunes
你 太 過份 了,你 有沒有 當 我 是 兄弟 ？,Far.Far.Away.2023.iTunes
你 有沒有 當 我 是 兄弟 ？,完全 沒 跟 我 說,Far.Far.Away.2023.iTunes
完全 沒 跟 我 說,我 到 今時 今日 還 沒 跟 你 老婆 說,Far.Far.Away.2023.iTunes
我 到 今時 今日 還 沒 跟 你 老婆 說,已經 便宜 你 了,Far.Far.Away.2023.iTunes
已經 便宜 你 了,好了 ， 現在 我 說,Far.Far.Away.2023.iTunes
好了 ， 現在 我 說,好 ！ 你 說 ！ 還是 你 自己 說 ？,Far.Far.Away.2023.iTunes
好 ！ 你 說 ！ 還是 你 自己 說 ？,還是 大家 都 不 說,Far.Far.Away.2023.iTunes
還是 大家 都 不 說,你 這 個 賤人,Far.Far.Away.2023.iTunes
你 這 個 賤人,你 真 是 一 個 賤人,Far.Far.Away.2023.iTunes
你 真 是 一 個 賤人,但 我 喜歡,Far.Far.Away.2023.iTunes
但 我 喜歡,哥,Far.Far.Away.2023.iTunes
哥,你 這 個 賤人,Far.Far.Away.2023.iTunes
你 這 個 賤人,怎麼 做 哥哥 的 ？,Far.Far.Away.2023.iTunes
怎麼 做 哥哥 的 ？,不 是 ， 難得 我 妹妹 有 人 要,Far.Far.Away.2023.iTunes
不 是 ， 難得 我 妹妹 有 人 要,你 知道 的,Far.Far.Away.2023.iTunes
你 知道 的,又 像 個 男人 又 胖 又 有 鬍子 　 你 說 得 對,Far.Far.Away.2023.iTunes
又 像 個 男人 又 胖 又 有 鬍子 　 你 說 得 對,我 老婆 來 的,Far.Far.Away.2023.iTunes
我 老婆 來 的,說 歸 說 ， 別 在 我 面前 說,Far.Far.Away.2023.iTunes
說 歸 說 ， 別 在 我 面前 說,你 真的 是 個 賤人,Far.Far.Away.2023.iTunes
你 真的 是 個 賤人,回 康盛 再 說,Far.Far.Away.2023.iTunes
回 康盛 再 說,你 坐 我 車,Far.Far.Away.2023.iTunes
你 坐 我 車,等等,Far.Far.Away.2023.iTunes
等等,你 坐 我 車,Far.Far.Away.2023.iTunes
你 坐 我 車,為什麼 呢 ？,Far.Far.Away.2023.iTunes
為什麼 呢 ？,你 是否 有些 事 要 向 我 交代 ？,Far.Far.Away.2023.iTunes
你 是否 有些 事 要 向 我 交代 ？,好像 是,Far.Far.Away.2023.iTunes
好像 是,好 ， 我 自己 走,Far.Far.Away.2023.iTunes
好 ， 我 自己 走,喂 ！,Far.Far.Away.2023.iTunes
喂 ！,又 怎樣 ？,Far.Far.Away.2023.iTunes
又 怎樣 ？,你們 不 想 知 我 為何 要 把 車 停 在 這裏 嗎 ？,Far.Far.Away.2023.iTunes
你們 不 想 知 我 為何 要 把 車 停 在 這裏 嗎 ？,不 想,Far.Far.Away.2023.iTunes
不 想,沒 興趣,Far.Far.Away.2023.iTunes
沒 興趣,不 在乎,Far.Far.Away.2023.iTunes
不 在乎,先 拿回 我 的 外置 電源,Far.Far.Away.2023.iTunes
先 拿回 我 的 外置 電源,閉嘴 吧,Far.Far.Away.2023.iTunes
閉嘴 吧,他們 兩 個 沒 興趣 知道 我 為何 把 車 停 在 這裏,Far.Far.Away.2023.iTunes
他們 兩 個 沒 興趣 知道 我 為何 把 車 停 在 這裏,但 你們 想 不 想 知道 ？,Far.Far.Away.2023.iTunes
但 你們 想 不 想 知道 ？,見完 客戶,Far.Far.Away.2023.iTunes
見完 客戶,有 同事 接送 真 好,Far.Far.Away.2023.iTunes
有 同事 接送 真 好,謝謝,Far.Far.Away.2023.iTunes
謝謝,不用 謝,Far.Far.Away.2023.iTunes
不用 謝,明天 見,Far.Far.Away.2023.iTunes
明天 見,幹嘛 ？,Far.Far.Away.2023.iTunes
幹嘛 ？,我 送 你,Far.Far.Away.2023.iTunes
我 送 你,就 幾 步 而已 ， 送 甚麼 ？,Far.Far.Away.2023.iTunes
就 幾 步 而已 ， 送 甚麼 ？,我 意思 是 我 可以 陪 你 坐 船,Far.Far.Away.2023.iTunes
我 意思 是 我 可以 陪 你 坐 船,為什麼 ？,Far.Far.Away.2023.iTunes
為什麼 ？,嗯 ⋯,Far.Far.Away.2023.iTunes
嗯 ⋯,嗯 ⋯ 吞吞吐吐 的,Far.Far.Away.2023.iTunes
嗯 ⋯ 吞吞吐吐 的,你 知道 你 送 我 過去 後,Far.Far.Away.2023.iTunes
你 知道 你 送 我 過去 後,要 用 兩 個 小時 坐 船 回來 嗎 ？,Far.Far.Away.2023.iTunes
要 用 兩 個 小時 坐 船 回來 嗎 ？,我 知道,Far.Far.Away.2023.iTunes
我 知道,就 是 啊,Far.Far.Away.2023.iTunes
就 是 啊,那 為什麼 ？,Far.Far.Away.2023.iTunes
不行 嗎 ？,可以,Far.Far.Away.2023.iTunes
可以,可以,Far.Far.Away.2023.iTunes
可以,走 吧,Far.Far.Away.2023.iTunes
你們 認不認得 這 個 碼頭 ？,是否 覺得 很 熟悉 ？,Far.Far.Away.2023.iTunes
是否 覺得 很 熟悉 ？,不過 我 可以 跟 你們 說,Far.Far.Away.2023.iTunes
不過 我 可以 跟 你們 說,咩姐 並 不 是 住在 長洲,Far.Far.Away.2023.iTunes
咩姐 並 不 是 住在 長洲,橙碧邨 ？,Far.Far.Away.2023.iTunes
橙碧邨 ？,澄碧邨,Far.Far.Away.2023.iTunes
澄碧邨,澄,Far.Far.Away.2023.iTunes
澄,其實 我 以前 也 沒 聽說 過,Far.Far.Away.2023.iTunes
其實 我 以前 也 沒 聽說 過,澄碧邨 、 大嶼山,Far.Far.Away.2023.iTunes
澄碧邨 、 大嶼山,海景 豪宅 出租 房價,Far.Far.Away.2023.iTunes
海景 豪宅 出租 房價,荒廢 會所 藏 狗 屍,Far.Far.Away.2023.iTunes
荒廢 會所 藏 狗 屍,三 年 前 同業 報導 過,Far.Far.Away.2023.iTunes
三 年 前 同業 報導 過,廢墟 攝影,Far.Far.Away.2023.iTunes
廢墟 攝影,廢墟 那邊 是 會所,Far.Far.Away.2023.iTunes
廢墟 那邊 是 會所,住宅 那邊 是 沒 問題 的,Far.Far.Away.2023.iTunes
住宅 那邊 是 沒 問題 的,跟 大澳 一樣,Far.Far.Away.2023.iTunes
跟 大澳 一樣,你 真 了不起,Far.Far.Away.2023.iTunes
你 真 了不起,接連 追求 兩 女生 ， 開車 進入 都 要 申請,Far.Far.Away.2023.iTunes
接連 追求 兩 女生 ， 開車 進入 都 要 申請,不 對,Far.Far.Away.2023.iTunes
不 對,簡直 連 車 都 去 不 到 的,Far.Far.Away.2023.iTunes
簡直 連 車 都 去 不 到 的,也 是,Far.Far.Away.2023.iTunes
也 是,羅子榮 你 妹 、 我 老婆 去 哪 了 ？,Far.Far.Away.2023.iTunes
羅子榮 你 妹 、 我 老婆 去 哪 了 ？,這裏 挺 漂亮,Far.Far.Away.2023.iTunes
這裏 挺 漂亮,還可以 看 海,Far.Far.Away.2023.iTunes
還可以 看 海,我們 小時候 常常 上來 這裏 玩 的,Far.Far.Away.2023.iTunes
我們 小時候 常常 上來 這裏 玩 的,對了 ， 阿厚 有沒有 送 你 ？,Far.Far.Away.2023.iTunes
對了 ， 阿厚 有沒有 送 你 ？,有 啊 ， 送 我 回 長洲,Far.Far.Away.2023.iTunes
有 啊 ， 送 我 回 長洲,跟著 看 著 我 上 回 澄碧邨 的 船 才 走,Far.Far.Away.2023.iTunes
跟著 看 著 我 上 回 澄碧邨 的 船 才 走,自己 一 個 人 從 長洲 搭船 回 中環,Far.Far.Away.2023.iTunes
自己 一 個 人 從 長洲 搭船 回 中環,但 也 不 代表 甚麼,Far.Far.Away.2023.iTunes
但 也 不 代表 甚麼,甚麼 ？,Far.Far.Away.2023.iTunes
甚麼 ？,這 也 不 代表 甚麼 ？,Far.Far.Away.2023.iTunes
這 也 不 代表 甚麼 ？,每 個 男生 得手 之前,Far.Far.Away.2023.iTunes
每 個 男生 得手 之前,都 會 送 我 回 長洲,Far.Far.Away.2023.iTunes
都 會 送 我 回 長洲,得手 之後,Far.Far.Away.2023.iTunes
得手 之後,就 會 叫 你 不要 再 住 澄碧邨 ， 搬出來,Far.Far.Away.2023.iTunes
就 會 叫 你 不要 再 住 澄碧邨 ， 搬出來,有 些 一 個 星期 會 說,Far.Far.Away.2023.iTunes
有 些 一 個 星期 會 說,有 些 一 個 月 會 說,Far.Far.Away.2023.iTunes
有 些 一 個 月 會 說,有 些 一 季 會 說,Far.Far.Away.2023.iTunes
有 些 一 季 會 說,有 些 會 叫 我 週末 到 他 家 睡,Far.Far.Away.2023.iTunes
有 些 會 叫 我 週末 到 他 家 睡,但 也 不 夠,Far.Far.Away.2023.iTunes
但 也 不 夠,最後 也 是 分手,Far.Far.Away.2023.iTunes
最後 也 是 分手,三 房 海景,Far.Far.Away.2023.iTunes
三 房 海景,隱世 孤島 來 的,Far.Far.Away.2023.iTunes
隱世 孤島 來 的,上 不 到 網 ， 我 真的 不行,Far.Far.Away.2023.iTunes
上 不 到 網 ， 我 真的 不行,近 兩 年 上 的 到 網,Far.Far.Away.2023.iTunes
近 兩 年 上 的 到 網,不過 現在 沒有 一百萬 這麼 便宜,Far.Far.Away.2023.iTunes
不過 現在 沒有 一百萬 這麼 便宜,這樣子 轉船 ， 一 來 一 回,Far.Far.Away.2023.iTunes
這樣子 轉船 ， 一 來 一 回,再 回家,Far.Far.Away.2023.iTunes
再 回家,比 去 高雄 更 費時,Far.Far.Away.2023.iTunes
比 去 高雄 更 費時,你 不 考慮 去 台北 了 ？,Far.Far.Away.2023.iTunes
你 不 考慮 去 台北 了 ？,中環 以前 可以 坐 船 去,Far.Far.Away.2023.iTunes
中環 以前 可以 坐 船 去,澄碧邨 以前 很 厲害 的,Far.Far.Away.2023.iTunes
澄碧邨 以前 很 厲害 的,在 八十年代,Far.Far.Away.2023.iTunes
在 八十年代,外國 富商 在 那裏 住,Far.Far.Away.2023.iTunes
外國 富商 在 那裏 住,本地 有錢人 就 會 當作 度假屋,Far.Far.Away.2023.iTunes
本地 有錢人 就 會 當作 度假屋,我 朋友 也 住 過,Far.Far.Away.2023.iTunes
我 朋友 也 住 過,這 間 是 羅氏 大 屋,Far.Far.Away.2023.iTunes
這 間 是 羅氏 大 屋,聽說 之後 重建 的 時候 會 保留,Far.Far.Away.2023.iTunes
聽說 之後 重建 的 時候 會 保留,希望 吧,Far.Far.Away.2023.iTunes
希望 吧,還 有 那裏,Far.Far.Away.2023.iTunes
還 有 那裏,這 個 漂亮 的 天台,Far.Far.Away.2023.iTunes
這 個 漂亮 的 天台,就 是 我 老公 的 家,Far.Far.Away.2023.iTunes
就 是 我 老公 的 家,為何 現在 變成 這樣 ？,Far.Far.Away.2023.iTunes
為何 現在 變成 這樣 ？,好像 說 以前 有 兩 批 業主 爭吵,Far.Far.Away.2023.iTunes
好像 說 以前 有 兩 批 業主 爭吵,訴諸 法庭,Far.Far.Away.2023.iTunes
訴諸 法庭,結果 會所 沒 了,Far.Far.Away.2023.iTunes
結果 會所 沒 了,中環 渡輪 沒 了,Far.Far.Away.2023.iTunes
中環 渡輪 沒 了,人 都 搬走 了,Far.Far.Away.2023.iTunes
人 都 搬走 了,所以 那 個 會所 變 了 廢墟,Far.Far.Away.2023.iTunes
所以 那 個 會所 變 了 廢墟,哇 ， 保齡球場 也 有,Far.Far.Away.2023.iTunes
哇 ， 保齡球場 也 有,阿厚 你 的 新 女友 住在 裏面,Far.Far.Away.2023.iTunes
阿厚 你 的 新 女友 住在 裏面,應該 不 是 普通人,Far.Far.Away.2023.iTunes
應該 不 是 普通人,還 不是 女朋友,Far.Far.Away.2023.iTunes
還 不是 女朋友,其實 阿厚 他 從 沒 帶過 女友 回 茶 果嶺村,Far.Far.Away.2023.iTunes
其實 阿厚 他 從 沒 帶過 女友 回 茶 果嶺村,我們 還 沒 在一起,Far.Far.Away.2023.iTunes
我們 還 沒 在一起,而且 今天 是 我 自己 說 要 來 的,Far.Far.Away.2023.iTunes
而且 今天 是 我 自己 說 要 來 的,我 想 他 大概 只 談 過 兩 次 戀愛,Far.Far.Away.2023.iTunes
我 想 他 大概 只 談 過 兩 次 戀愛,兩 次 都 是 女生 主動,Far.Far.Away.2023.iTunes
兩 次 都 是 女生 主動,不過 她 的 爸 媽 就 喜歡 那裏 與世隔絕,Far.Far.Away.2023.iTunes
不過 她 的 爸 媽 就 喜歡 那裏 與世隔絕,外人 不能 進去,Far.Far.Away.2023.iTunes
外人 不能 進去,阿B哥 ， 你 說中 了,Far.Far.Away.2023.iTunes
阿B哥 ， 你 說中 了,阿厚 女友 以前 是 個 明星,Far.Far.Away.2023.iTunes
阿厚 女友 以前 是 個 明星,由 璀璨 歸於 平淡,Far.Far.Away.2023.iTunes
由 璀璨 歸於 平淡,他 家 發生 甚麼 事 你 知不知道 ？,Far.Far.Away.2023.iTunes
他 家 發生 甚麼 事 你 知不知道 ？,一知半解,Far.Far.Away.2023.iTunes
一知半解,他 住 康盛 花園 ， 你 知道 嗎 ？,Far.Far.Away.2023.iTunes
他 住 康盛 花園 ， 你 知道 嗎 ？,這 個 我 知道,Far.Far.Away.2023.iTunes
這 個 我 知道,而且 我 和 同學 們 都 知道,Far.Far.Away.2023.iTunes
而且 我 和 同學 們 都 知道,他 媽媽 在 五 歲 那 年 死 了,Far.Far.Away.2023.iTunes
他 媽媽 在 五 歲 那 年 死 了,他 五 歲 那 年 他 媽媽 死 了,Far.Far.Away.2023.iTunes
他 五 歲 那 年 他 媽媽 死 了,你 以為 是 大陸 那些 芭樂劇 嗎 ？,Far.Far.Away.2023.iTunes
你 以為 是 大陸 那些 芭樂劇 嗎 ？,其實 是 他 出生 時 在 康盛 花園,Far.Far.Away.2023.iTunes
其實 是 他 出生 時 在 康盛 花園,但 他 老爸 長年 在 大陸 工作,Far.Far.Away.2023.iTunes
但 他 老爸 長年 在 大陸 工作,所以 他 要 回 茶 果嶺村 ， 讓 祖父母 帶 大,Far.Far.Away.2023.iTunes
